datetime,x,y,z
2024-05-09 00:01:36,21497.30,-1361.49,45896.71
2024-05-09 00:01:37,21497.25,-1361.48,45896.69
2024-05-09 00:01:38,21497.33,-1361.46,45896.62
2024-05-09 00:01:39,21497.29,-1361.50,45896.72
2024-05-09 00:01:40,21497.30,-1361.50,45896.75
2024-05-09 00:01:41,21497.10,-1361.47,45896.82
2024-05-09 00:01:42,21497.28,-1361.45,45896.71
2024-05-09 00:01:43,21497.30,-1361.46,45896.72
2024-05-09 00:01:44,21497.37,-1361.46,45896.71
2024-05-09 00:01:45,21497.42,-1361.47,45896.67
2024-05-09 00:01:46,21497.40,-1361.50,45896.70
2024-05-09 00:01:47,21497.43,-1361.52,45896.70
2024-05-09 00:01:48,21497.50,-1361.54,45896.71
2024-05-09 00:01:49,21497.53,-1361.52,45896.65
2024-05-09 00:01:50,21497.55,-1361.50,45896.60
2024-05-09 00:01:51,21497.58,-1361.49,45896.56
2024-05-09 00:01:52,21497.56,-1361.47,45896.60
2024-05-09 00:01:53,21497.64,-1361.48,45896.63
2024-05-09 00:01:54,21497.64,-1361.49,45896.56
2024-05-09 00:01:55,21497.69,-1361.47,45896.54
2024-05-09 00:01:56,21497.72,-1361.43,45896.49
2024-05-09 00:01:57,21497.68,-1361.42,45896.53
2024-05-09 00:01:58,21497.71,-1361.37,45896.51
2024-05-09 00:01:59,21497.72,-1361.35,45896.51
2024-05-09 00:02:00,21497.71,-1361.31,45896.50
2024-05-09 00:02:01,21497.72,-1361.31,45896.45
2024-05-09 00:02:02,21497.69,-1361.31,45896.48
2024-05-09 00:02:03,21497.64,-1361.28,45896.51
2024-05-09 00:02:04,21497.66,-1361.30,45896.52
2024-05-09 00:02:05,21497.64,-1361.30,45896.58
2024-05-09 00:02:06,21497.63,-1361.26,45896.56
2024-05-09 00:02:07,21497.63,-1361.23,45896.51
2024-05-09 00:02:08,21497.49,-1361.23,45896.57
2024-05-09 00:02:09,21497.54,-1361.25,45896.59
2024-05-09 00:02:10,21497.46,-1361.28,45896.65
2024-05-09 00:02:11,21497.44,-1361.27,45896.64
2024-05-09 00:02:12,21497.44,-1361.27,45896.65
2024-05-09 00:02:13,21497.45,-1361.26,45896.59
2024-05-09 00:02:14,21497.50,-1361.28,45896.67
2024-05-09 00:02:15,21497.27,-1361.29,45896.70
2024-05-09 00:02:16,21497.30,-1361.31,45896.74
2024-05-09 00:02:17,21497.28,-1361.31,45896.74
2024-05-09 00:02:18,21497.28,-1361.31,45896.72
2024-05-09 00:02:19,21497.34,-1361.26,45896.67
2024-05-09 00:02:20,21497.31,-1361.26,45896.66
2024-05-09 00:02:21,21497.36,-1361.28,45896.73
2024-05-09 00:02:22,21497.48,-1361.36,45896.76
2024-05-09 00:02:23,21497.40,-1361.33,45896.61
2024-05-09 00:02:24,21497.38,-1361.29,45896.61
2024-05-09 00:02:25,21497.35,-1361.30,45896.67
2024-05-09 00:02:26,21497.39,-1361.29,45896.61
2024-05-09 00:02:27,21497.39,-1361.32,45896.56
2024-05-09 00:02:28,21497.38,-1361.34,45896.65
2024-05-09 00:02:29,21497.40,-1361.37,45896.59
2024-05-09 00:02:30,21497.44,-1361.37,45896.61
