GICXFNeutralAmps,time 
0.124557,0
-0.078119,60
-0.441182,120
-0.427087,180
-0.199066,240
-0.11467,300
-0.363229,360
-0.11941,420
-0.202881,480
-0.042557,540
-0.197336,600
-0.571698,660
-0.197509,720
0.039957,780
0.19273,840
0.325649,900
0.080478,960
-0.206504,1020
-0.457671,1080
-0.29076,1140
-0.095919,1200
-0.40799,1260
-0.617132,1320
-1.480361,1380
-2.055538,1440
-1.800816,1500
-1.475925,1560
-1.684494,1620
-2.216266,1680
-3.119957,1740
-2.74985,1800
-1.377494,1860
0.425378,1920
1.691708,1980
0.979126,2040
1.245934,2100
1.612637,2160
2.371244,2220
2.347602,2280
1.705729,2340
1.034888,2400
1.00725,2460
0.813222,2520
-0.044954,2580
0.154584,2640
-0.268916,2700
-0.893714,2760
-0.989166,2820
-0.066704,2880
0.454692,2940
-0.175889,3000
-0.091449,3060
0.618298,3120
0.740963,3180
0.897102,3240
0.993037,3300
0.861452,3360
1.133048,3420
1.235348,3480
1.407601,3540
1.311354,3600
1.228253,3660
1.202359,3720
0.953504,3780
1.323367,3840
1.527871,3900
1.10513,3960
0.777921,4020
0.985585,4080
1.622465,4140
2.252885,4200
2.005055,4260
1.454782,4320
1.167122,4380
0.81405,4440
0.634223,4500
0.53634,4560
0.422233,4620
0.680743,4680
0.71912,4740
0.370757,4800
0.258052,4860
0.344181,4920
0.838312,4980
1.46477,5040
1.119197,5100
1.353095,5160
2.467809,5220
2.931003,5280
2.135838,5340
0.21244,5400
0.185259,5460
1.141747,5520
1.489204,5580
1.605621,5640
1.593198,5700
1.694175,5760
1.42968,5820
1.289647,5880
1.291895,5940
1.288693,6000
1.166181,6060
1.453553,6120
1.941596,6180
1.652216,6240
1.51718,6300
1.55112,6360
1.270729,6420
0.232985,6480
-0.080413,6540
0.384475,6600
0.965977,6660
1.280898,6720
1.027524,6780
0.227666,6840
-0.073412,6900
0.269535,6960
0.750009,7020
0.905538,7080
0.744834,7140
0.625628,7200
0.43183,7260
0.06915,7320
0.260195,7380
0.557149,7440
2.27615,7500
-0.849654,7560
-3.680558,7620
-0.893103,7680
1.370349,7740
3.047769,7800
6.917213,7860
6.03757,7920
4.639227,7980
3.468215,8040
4.194439,8100
2.181761,8160
2.931038,8220
3.423394,8280
2.339871,8340
2.282302,8400
3.389293,8460
3.821441,8520
1.081143,8580
0.880116,8640
1.587225,8700
-0.668906,8760
-1.031223,8820
-1.310643,8880
-0.649061,8940
-2.016866,9000
-0.929591,9060
-1.317478,9120
-0.526329,9180
