GICXFNeutralAmps,time
0.178162,0
0.34669,60
0.338672,120
0.271801,180
0.250984,240
0.324191,300
0.345749,360
0.256179,420
0.297742,480
0.325943,540
0.234113,600
0.190366,660
0.412643,720
0.446143,780
0.286691,840
0.258855,900
0.588792,960
0.544739,1020
0.233235,1080
0.317263,1140
0.374719,1200
0.393625,1260
0.289274,1320
0.25145,1380
0.269712,1440
0.336528,1500
0.357592,1560
0.298508,1620
0.28533,1680
0.254361,1740
0.304209,1800
0.359332,1860
0.472667,1920
0.453643,1980
0.211586,2040
0.233774,2100
0.558694,2160
0.631973,2220
0.302051,2280
0.220574,2340
0.293012,2400
0.29989,2460
0.330656,2520
0.450429,2580
0.369119,2640
0.188889,2700
0.181923,2760
0.239082,2820
0.35335,2880
0.363117,2940
0.389346,3000
0.345468,3060
0.242031,3120
0.392541,3180
0.505123,3240
0.52222,3300
0.435972,3360
0.468457,3420
0.651896,3480
0.763412,3540
0.482113,3600
0.529324,3660
0.617598,3720
0.470863,3780
0.447317,3840
0.429409,3900
0.574036,3960
0.421449,4020
0.443332,4080
0.444531,4140
0.367252,4200
0.407555,4260
0.437461,4320
0.513724,4380
0.488135,4440
0.552085,4500
0.537737,4560
0.641557,4620
0.626923,4680
0.506041,4740
0.416728,4800
0.399601,4860
0.38614,4920
0.358517,4980
0.367849,5040
0.523602,5100
0.466818,5160
0.506509,5220
0.523253,5280
0.417741,5340
0.225571,5400
0.379554,5460
0.891825,5520
0.48551,5580
0.292018,5640
0.722116,5700
0.71369,5760
0.468833,5820
0.781299,5880
0.827471,5940
0.599132,6000
0.736329,6060
0.62873,6120
0.471326,6180
0.443435,6240
0.598212,6300
0.688395,6360
0.677373,6420
0.811429,6480
0.61257,6540
0.690213,6600
0.634626,6660
0.735748,6720
0.765226,6780
0.602414,6840
0.49216,6900
0.756596,6960
1.064481,7020
0.753549,7080
0.022046,7140
0.577563,7200
0.963759,7260
0.586873,7320
0.468186,7380
0.901427,7440
0.66537,7500
0.237057,7560
0.578373,7620
0.552818,7680
0.511538,7740
0.467626,7800
0.199685,7860
-0.70008,7920
-0.918514,7980
-1.370106,8040
-1.550011,8100
-1.378683,8160
-0.871804,8220
-0.842802,8280
-1.124435,8340
-1.544529,8400
-1.386743,8460
-1.062576,8520
-0.626972,8580
-0.415459,8640
-0.453635,8700
-0.35216,8760
-0.223227,8820
-0.140598,8880
-0.040508,8940
0.096925,9000
0.103532,9060
0.216011,9120
0.047748,9180
0.051594,9240
0.071742,9300
0.110045,9360
0.101631,9420
0.193813,9480
0.132486,9540
0.214592,9600
0.288606,9660
0.207686,9720
0.372796,9780
0.494328,9840
0.468996,9900
0.366243,9960
0.273817,10020
0.319422,10080
0.387304,10140
0.48286,10200
0.51577,10260
0.618134,10320
0.55605,10380
0.492715,10440
0.587433,10500
0.533687,10560
0.223296,10620
0.607412,10680
0.942747,10740
1.286252,10800
0.582377,10860
0.434816,10920
0.264039,10980
0.16786,11040
0.063001,11100
0.081018,11160
-0.189287,11220
-0.097403,11280
-0.110114,11340
-0.124717,11400
-0.110737,11460
0.009768,11520
0.081525,11580
-0.030126,11640
-0.155941,11700
-0.230185,11760
-0.17388,11820
-0.127644,11880
-0.094712,11940
-0.045765,12000
-0.152311,12060
-0.247114,12120
-0.121741,12180
-0.112233,12240
-0.065345,12300
0.051423,12360
0.014135,12420
-0.014322,12480
0.091814,12540
0.137726,12600
0.184067,12660
0.265595,12720
0.445783,12780
0.499545,12840
0.473803,12900
0.409809,12960
0.711938,13020
1.13273,13080
0.628458,13140
-0.145628,13200
-0.287819,13260
0.15429,13320
0.520085,13380
0.294801,13440
0.229641,13500
0.400498,13560
0.40035,13620
0.554595,13680
0.535884,13740
0.402601,13800
0.332329,13860
0.39062,13920
0.270011,13980
0.071242,14040
0.170951,14100
0.248837,14160
-0.091771,14220
-0.252989,14280
-0.193171,14340
0.102374,14400
-0.004865,14460
-0.115268,14520
-0.217503,14580
-0.58902,14640
-0.20199,14700
-0.110465,14760
-0.28665,14820
-0.34872,14880
-0.283542,14940
-0.330494,15000
-0.122803,15060
-0.092191,15120
-0.083574,15180
-0.021908,15240
-0.535219,15300
-0.169655,15360
-0.100309,15420
0.085271,15480
0.439949,15540
0.025446,15600
-0.091962,15660
0.396464,15720
0.302899,15780
0.394055,15840
0.381287,15900
0.190836,15960
0.540676,16020
1.795193,16080
4.33913,16140
5.084963,16200
5.425039,16260
5.440921,16320
4.12848,16380
1.386833,16440
-0.896934,16500
-2.179215,16560
-2.583615,16620
-2.584552,16680
-2.400755,16740
-2.119513,16800
-1.774732,16860
-1.461725,16920
-1.162826,16980
-0.95048,17040
-0.76731,17100
-0.528779,17160
-0.426179,17220
-0.485454,17280
-0.569024,17340
-0.539089,17400
-0.738205,17460
-0.840486,17520
-0.719344,17580
-0.569932,17640
-0.543643,17700
-0.537808,17760
-0.648134,17820
-0.711348,17880
-0.573677,17940
-0.204244,18000
0.261829,18060
0.417529,18120
0.449336,18180
0.364959,18240
0.373742,18300
0.243756,18360
-0.099373,18420
-0.437188,18480
-0.320925,18540
0.168834,18600
0.281597,18660
-0.012101,18720
-0.256227,18780
-0.046067,18840
0.387939,18900
0.60101,18960
0.461571,19020
0.003852,19080
-0.267659,19140
-0.28803,19200
-0.137336,19260
-0.068164,19320
0.110986,19380
0.051821,19440
-0.031295,19500
-0.092318,19560
-0.142538,19620
-0.197809,19680
-0.129186,19740
-0.017059,19800
0.132781,19860
0.353632,19920
0.326224,19980
0.276226,20040
0.204858,20100
0.126466,20160
0.380382,20220
0.596857,20280
0.612028,20340
0.659494,20400
0.74073,20460
0.727739,20520
0.660913,20580
0.541073,20640
0.533709,20700
0.512448,20760
0.319997,20820
0.131102,20880
0.064755,20940
-0.029863,21000
-0.054176,21060
0.025404,21120
0.075738,21180
0.010742,21240
-0.027363,21300
-0.042794,21360
-0.142606,21420
-0.228117,21480
-0.076142,21540
0.011005,21600
0.111233,21660
0.292323,21720
0.338105,21780
0.250913,21840
0.148018,21900
0.035712,21960
-0.003892,22020
-0.050475,22080
-0.112494,22140
-0.068196,22200
0.002128,22260
-0.056605,22320
-0.121741,22380
-0.128006,22440
-0.0438,22500
0.063615,22560
0.126416,22620
0.131511,22680
0.085087,22740
0.056119,22800
-0.038864,22860
-0.135424,22920
-0.194831,22980
-0.20679,23040
-0.205943,23100
-0.172586,23160
-0.035545,23220
0.024454,23280
-0.081001,23340
-0.245629,23400
-0.301811,23460
-0.213279,23520
-0.034852,23580
0.078526,23640
0.103529,23700
0.024694,23760
-0.052908,23820
-0.083501,23880
-0.109696,23940
-0.138947,24000
-0.094247,24060
-0.123588,24120
