MagnetometerDeviceID,SampleDateTime,GeoBfieldMeasureNorth,GeoBfieldMeasureEast,GeoBfieldMeasureVertical
50131,5/2/2024 12:00:00 AM,20726.13,995.33,46235.40
50131,5/2/2024 12:00:10 AM,20726.28,995.30,46235.50
50131,5/2/2024 12:00:20 AM,20726.40,995.27,46235.50
50131,5/2/2024 12:00:30 AM,20726.40,995.22,46235.45
50131,5/2/2024 12:00:40 AM,20726.40,995.18,46235.60
50131,5/2/2024 12:00:50 AM,20726.53,995.00,46235.50
50131,5/2/2024 12:01:00 AM,20726.73,995.20,46235.70
50131,5/2/2024 12:01:10 AM,20726.90,995.40,46235.80
50131,5/2/2024 12:01:20 AM,20726.90,995.30,46235.75
50131,5/2/2024 12:01:30 AM,20726.90,995.20,46235.90
50131,5/2/2024 12:01:40 AM,20727.10,995.40,46235.90
50131,5/2/2024 12:01:50 AM,20727.20,995.42,46236.00
50131,5/2/2024 12:02:00 AM,20727.40,995.50,46235.90
50131,5/2/2024 12:02:10 AM,20727.60,995.59,46235.93
50131,5/2/2024 12:02:20 AM,20727.64,995.60,46236.20
50131,5/2/2024 12:02:30 AM,20727.77,995.80,46236.05
50131,5/2/2024 12:02:40 AM,20727.88,995.80,46236.30
50131,5/2/2024 12:02:50 AM,20728.15,996.10,46236.20
50131,5/2/2024 12:03:00 AM,20728.15,996.10,46236.10
50131,5/2/2024 12:03:10 AM,20728.35,996.30,46235.90
50131,5/2/2024 12:03:20 AM,20728.70,996.60,46235.95
50131,5/2/2024 12:03:30 AM,20729.10,997.17,46235.70
50131,5/2/2024 12:03:40 AM,20729.20,997.80,46235.13
50131,5/2/2024 12:03:50 AM,20728.80,999.00,46234.08
50131,5/2/2024 12:04:00 AM,20727.88,998.84,46232.70
50131,5/2/2024 12:04:10 AM,20727.73,998.43,46231.55
50131,5/2/2024 12:04:20 AM,20726.76,998.92,46231.15
50131,5/2/2024 12:04:30 AM,20725.00,996.82,46231.68
50131,5/2/2024 12:04:40 AM,20726.50,994.55,46232.20
50131,5/2/2024 12:04:50 AM,20728.30,995.40,46232.20
50131,5/2/2024 12:05:00 AM,20728.30,996.95,46232.00
50131,5/2/2024 12:05:10 AM,20727.40,997.86,46231.30
50131,5/2/2024 12:05:20 AM,20726.10,996.40,46231.30
50131,5/2/2024 12:05:30 AM,20727.90,994.90,46231.40
50131,5/2/2024 12:05:40 AM,20728.30,997.30,46231.50
50131,5/2/2024 12:05:50 AM,20726.80,996.90,46232.10
50131,5/2/2024 12:06:00 AM,20727.20,995.40,46233.30
50131,5/2/2024 12:06:10 AM,20728.50,996.10,46235.20
50131,5/2/2024 12:06:20 AM,20728.33,997.30,46235.98
50131,5/2/2024 12:06:30 AM,20727.96,997.32,46236.13
50131,5/2/2024 12:06:40 AM,20727.90,997.50,46236.34
50131,5/2/2024 12:06:50 AM,20727.90,997.50,46236.35
50131,5/2/2024 12:07:00 AM,20728.12,997.80,46236.55
50131,5/2/2024 12:07:10 AM,20728.20,997.92,46236.80
50131,5/2/2024 12:07:20 AM,20728.40,997.95,46236.78
50131,5/2/2024 12:07:30 AM,20728.70,998.10,46236.86
50131,5/2/2024 12:07:40 AM,20729.00,998.30,46237.05
50131,5/2/2024 12:07:50 AM,20729.26,998.45,46237.05
50131,5/2/2024 12:08:00 AM,20729.63,998.80,46237.30
50131,5/2/2024 12:08:10 AM,20729.72,998.60,46237.25
50131,5/2/2024 12:08:20 AM,20729.97,998.80,46237.40
