Device ID, Latitude, Longitude, Orientation
50100,30.4000000000,89.6000000000,1 - Geographic
50078,34.5000000000,118.1000000000,1 - Geographic
50112,48.3000000000,117.1000000000,2 - Geomagnetic
50129,40.3000000000,83.4000000000,1 - Geographic
50130,40.2000000000,82.8000000000,1 - Geographic
50102,42.1000000000,72.5000000000,1 - Geographic
50103,33.3000000000,89.2000000000,1 - Geographic
50105,34.7000000000,87.8000000000,1 - Geographic
50106,36.3000000000,86.4000000000,1 - Geographic
50109,35.6000000000,84.7000000000,1 - Geographic
50115,41.3000000000,90.5000000000,1 - Geographic
50116,37.2000000000,86.9000000000,1 - Geographic
50119,35.0000000000,85.3000000000,1 - Geographic
50120,34.3000000000,88.8000000000,1 - Geographic
50121,35.0000000000,90.1000000000,1 - Geographic
50123,28.9000000000,82.4000000000,1 - Geographic
