site_id,geo_lat,geo_lon,data_type,notes
Alberta line,53.47,-113.33,DMM,"DMM GIC, lat/lon approximated using map in paper"
Alberta ref,53.47,-113.33,DMM,"DMM GIC, lat/lon approximated using map in paper"
