GICDeviceID,SampleDateTime,GICMeasured
10679,6/28/2024 12:00:11 AM,-0.50
10679,6/28/2024 12:01:11 AM,-0.60
10679,6/28/2024 12:02:11 AM,-0.40
10679,6/28/2024 12:04:11 AM,-0.50
10679,6/28/2024 12:05:11 AM,-0.40
10679,6/28/2024 12:08:11 AM,-0.10
10679,6/28/2024 12:09:11 AM,-0.30
10679,6/28/2024 12:10:11 AM,-0.40
10679,6/28/2024 12:11:11 AM,-0.70
10679,6/28/2024 12:12:11 AM,-0.40
10679,6/28/2024 12:13:11 AM,-0.30
10679,6/28/2024 12:14:11 AM,-0.50
10679,6/28/2024 12:15:11 AM,-0.40
10679,6/28/2024 12:17:11 AM,-0.80
10679,6/28/2024 12:18:11 AM,-0.90
10679,6/28/2024 12:20:11 AM,-1.00
10679,6/28/2024 12:21:11 AM,-1.10
10679,6/28/2024 12:22:11 AM,-1.00
10679,6/28/2024 12:23:11 AM,-0.90
10679,6/28/2024 12:24:11 AM,-0.80
10679,6/28/2024 12:25:11 AM,-1.00
10679,6/28/2024 12:26:11 AM,-0.90
10679,6/28/2024 12:27:11 AM,-0.80
10679,6/28/2024 12:29:11 AM,-0.50
10679,6/28/2024 12:30:11 AM,-0.30
10679,6/28/2024 12:33:11 AM,-0.50
10679,6/28/2024 12:34:11 AM,-0.40
10679,6/28/2024 12:35:11 AM,-0.80
10679,6/28/2024 12:36:11 AM,-0.70
10679,6/28/2024 12:37:11 AM,-0.40
10679,6/28/2024 12:45:11 AM,-0.30
10679,6/28/2024 12:48:11 AM,-0.10
10679,6/28/2024 12:49:11 AM,-0.20
10679,6/28/2024 12:50:11 AM,-0.40
10679,6/28/2024 12:52:11 AM,-0.20
10679,6/28/2024 12:53:11 AM,-0.40
10679,6/28/2024 12:54:11 AM,-0.30
10679,6/28/2024 12:55:11 AM,-0.50
10679,6/28/2024 12:56:11 AM,-0.60
10679,6/28/2024 12:57:11 AM,-0.70
10679,6/28/2024 1:00:11 AM,-0.80
10679,6/28/2024 1:01:11 AM,-0.70
10679,6/28/2024 1:03:11 AM,-0.90
10679,6/28/2024 1:04:11 AM,-0.80
10679,6/28/2024 1:05:11 AM,-0.60
10679,6/28/2024 1:06:11 AM,-0.70
10679,6/28/2024 1:09:11 AM,-0.80
10679,6/28/2024 1:10:11 AM,-1.00
10679,6/28/2024 1:11:11 AM,-0.90
10679,6/28/2024 1:12:11 AM,-1.20
10679,6/28/2024 1:13:11 AM,-1.10
10679,6/28/2024 1:13:53 AM,0.10
10679,6/28/2024 1:13:59 AM,-0.90
10679,6/28/2024 1:15:11 AM,-0.70
10679,6/28/2024 1:16:11 AM,-0.90
10679,6/28/2024 1:17:11 AM,-0.60
10679,6/28/2024 1:18:11 AM,-0.30
10679,6/28/2024 1:19:11 AM,-0.50
10679,6/28/2024 1:20:11 AM,-0.30
10679,6/28/2024 1:22:11 AM,-0.20
10679,6/28/2024 1:23:11 AM,0.00
10679,6/28/2024 1:24:11 AM,0.20
10679,6/28/2024 1:25:11 AM,0.10
10679,6/28/2024 1:26:11 AM,0.20
10679,6/28/2024 1:29:11 AM,0.10
10679,6/28/2024 1:30:11 AM,0.00
10679,6/28/2024 1:31:11 AM,0.10
10679,6/28/2024 1:32:11 AM,-0.10
10679,6/28/2024 1:33:11 AM,-0.40
10679,6/28/2024 1:36:11 AM,-0.50
10679,6/28/2024 1:37:11 AM,-0.60
10679,6/28/2024 1:38:11 AM,-0.50
10679,6/28/2024 1:39:11 AM,-0.60
10679,6/28/2024 1:41:11 AM,-0.70
10679,6/28/2024 1:43:11 AM,-0.60
10679,6/28/2024 1:44:11 AM,-0.70
10679,6/28/2024 1:46:11 AM,-0.50
10679,6/28/2024 1:47:11 AM,-0.70
10679,6/28/2024 1:48:11 AM,-0.50
10679,6/28/2024 1:49:11 AM,-0.70
10679,6/28/2024 1:50:11 AM,-0.60
10679,6/28/2024 1:52:11 AM,-0.70
10679,6/28/2024 1:53:11 AM,-0.80
10679,6/28/2024 1:54:11 AM,-0.70
10679,6/28/2024 1:57:11 AM,-0.60
10679,6/28/2024 1:59:11 AM,-0.80
10679,6/28/2024 2:03:11 AM,-0.70
10679,6/28/2024 2:04:11 AM,-0.90
10679,6/28/2024 2:07:10 AM,-1.00
10679,6/28/2024 2:08:11 AM,-0.90
10679,6/28/2024 2:10:11 AM,-1.00
10679,6/28/2024 2:12:11 AM,-0.90
10679,6/28/2024 2:13:11 AM,-0.80
10679,6/28/2024 2:14:11 AM,-0.90
10679,6/28/2024 2:17:11 AM,-0.80
10679,6/28/2024 2:19:11 AM,-0.70
10679,6/28/2024 2:20:11 AM,-0.80
10679,6/28/2024 2:21:11 AM,-0.90
10679,6/28/2024 2:23:11 AM,-1.00
10679,6/28/2024 2:25:11 AM,-1.10
10679,6/28/2024 2:26:11 AM,-1.00
10679,6/28/2024 2:27:11 AM,-0.90
10679,6/28/2024 2:30:11 AM,-0.70
10679,6/28/2024 2:31:11 AM,-0.90
10679,6/28/2024 2:33:11 AM,-0.80
10679,6/28/2024 2:34:11 AM,-0.90
10679,6/28/2024 2:35:11 AM,-1.10
10679,6/28/2024 2:36:11 AM,-1.20
10679,6/28/2024 2:37:11 AM,-1.30
10679,6/28/2024 2:39:11 AM,-1.10
10679,6/28/2024 2:42:11 AM,-1.00
10679,6/28/2024 2:43:11 AM,-0.90
10679,6/28/2024 2:44:11 AM,-1.10
10679,6/28/2024 2:45:11 AM,-1.00
10679,6/28/2024 2:46:11 AM,-0.80
10679,6/28/2024 2:48:11 AM,-0.70
10679,6/28/2024 2:49:11 AM,-0.50
10679,6/28/2024 2:50:11 AM,-1.00
10679,6/28/2024 2:51:11 AM,-0.80
10679,6/28/2024 2:52:11 AM,-0.40
10679,6/28/2024 2:54:11 AM,-0.60
10679,6/28/2024 2:55:11 AM,-0.80
10679,6/28/2024 2:56:11 AM,-1.20
10679,6/28/2024 2:57:11 AM,-0.80
10679,6/28/2024 2:58:11 AM,-0.60
10679,6/28/2024 2:59:11 AM,-1.10
10679,6/28/2024 3:00:11 AM,-0.70
10679,6/28/2024 3:02:11 AM,-0.80
10679,6/28/2024 3:03:11 AM,-0.70
10679,6/28/2024 3:05:11 AM,-0.90
10679,6/28/2024 3:08:11 AM,-1.00
10679,6/28/2024 3:10:11 AM,-1.10
10679,6/28/2024 3:11:11 AM,-1.00
10679,6/28/2024 3:12:11 AM,-0.80
10679,6/28/2024 3:13:11 AM,-0.90
10679,6/28/2024 3:14:11 AM,-1.10
10679,6/28/2024 3:15:11 AM,-0.90
10679,6/28/2024 3:16:11 AM,-1.10
10679,6/28/2024 3:17:11 AM,-1.30
10679,6/28/2024 3:18:11 AM,-1.10
10679,6/28/2024 3:19:11 AM,-1.20
10679,6/28/2024 3:20:11 AM,-1.00
10679,6/28/2024 3:21:11 AM,-0.90
10679,6/28/2024 3:22:11 AM,-1.30
10679,6/28/2024 3:23:05 AM,-0.90
10679,6/28/2024 3:24:11 AM,-0.40
10679,6/28/2024 3:25:11 AM,-1.00
10679,6/28/2024 3:26:11 AM,-1.50
10679,6/28/2024 3:27:11 AM,-1.20
10679,6/28/2024 3:27:23 AM,0.10
10679,6/28/2024 3:27:29 AM,-0.60
10679,6/28/2024 3:27:41 AM,-0.90
10679,6/28/2024 3:27:59 AM,-0.80
10679,6/28/2024 3:28:11 AM,0.00
10679,6/28/2024 3:28:23 AM,-0.20
10679,6/28/2024 3:28:29 AM,-0.90
10679,6/28/2024 3:28:41 AM,-0.80
10679,6/28/2024 3:28:59 AM,-1.40
10679,6/28/2024 3:29:05 AM,-0.70
10679,6/28/2024 3:29:17 AM,-0.20
10679,6/28/2024 3:29:29 AM,-1.30
10679,6/28/2024 3:29:35 AM,-0.30
10679,6/28/2024 3:30:11 AM,-0.40
10679,6/28/2024 3:31:11 AM,-0.50
10679,6/28/2024 3:32:11 AM,-0.60
10679,6/28/2024 3:34:11 AM,-0.50
10679,6/28/2024 3:35:11 AM,-0.40
10679,6/28/2024 3:35:29 AM,-0.70
10679,6/28/2024 3:36:11 AM,-0.60
10679,6/28/2024 3:38:11 AM,-0.70
10679,6/28/2024 3:39:11 AM,-0.60
10679,6/28/2024 3:41:11 AM,-0.80
10679,6/28/2024 3:42:11 AM,-0.50
10679,6/28/2024 3:43:11 AM,-0.70
10679,6/28/2024 3:44:11 AM,-0.50
10679,6/28/2024 3:44:41 AM,0.20
10679,6/28/2024 3:45:11 AM,-0.80
10679,6/28/2024 3:45:17 AM,-0.20
10679,6/28/2024 3:45:35 AM,0.10
10679,6/28/2024 3:46:11 AM,-0.20
10679,6/28/2024 3:46:23 AM,-0.40
10679,6/28/2024 3:46:35 AM,-0.10
10679,6/28/2024 3:47:11 AM,-0.50
10679,6/28/2024 3:47:17 AM,-1.00
10679,6/28/2024 3:47:23 AM,-0.70
10679,6/28/2024 3:49:11 AM,-0.40
10679,6/28/2024 3:50:11 AM,-0.60
10679,6/28/2024 3:51:11 AM,-0.20
10679,6/28/2024 3:54:11 AM,-0.60
10679,6/28/2024 3:56:11 AM,-0.50
10679,6/28/2024 3:57:11 AM,-0.70
10679,6/28/2024 3:58:11 AM,-0.80
10679,6/28/2024 3:59:11 AM,-0.60
10679,6/28/2024 4:01:11 AM,-0.80
10679,6/28/2024 4:02:11 AM,-0.90
10679,6/28/2024 4:03:11 AM,-0.80
10679,6/28/2024 4:04:11 AM,-0.90
10679,6/28/2024 4:05:11 AM,-1.00
10679,6/28/2024 4:06:11 AM,-0.90
10679,6/28/2024 4:07:11 AM,-1.10
10679,6/28/2024 4:08:11 AM,-0.80
10679,6/28/2024 4:09:11 AM,-0.90
10679,6/28/2024 4:10:11 AM,-0.80
10679,6/28/2024 4:10:42 AM,-0.80
10679,6/28/2024 4:10:47 AM,-0.80
10679,6/28/2024 4:11:11 AM,-0.60
10679,6/28/2024 4:13:11 AM,-0.50
10679,6/28/2024 4:14:11 AM,-0.70
10679,6/28/2024 4:16:11 AM,-0.60
10679,6/28/2024 4:17:06 AM,-0.60
10679,6/28/2024 4:17:11 AM,-0.50
10679,6/28/2024 4:18:11 AM,-0.60
10679,6/28/2024 4:20:11 AM,-0.50
10679,6/28/2024 4:21:11 AM,-0.60
10679,6/28/2024 4:22:11 AM,-0.70
10679,6/28/2024 4:23:11 AM,-0.90
10679,6/28/2024 4:24:11 AM,-0.20
10679,6/28/2024 4:25:11 AM,-0.60
10679,6/28/2024 4:26:11 AM,0.00
10679,6/28/2024 4:27:11 AM,-0.60
10679,6/28/2024 4:28:17 AM,-1.40
10679,6/28/2024 4:28:23 AM,0.00
10679,6/28/2024 4:28:29 AM,-1.50
10679,6/28/2024 4:28:34 AM,-0.10
10679,6/28/2024 4:29:11 AM,-0.40
10679,6/28/2024 4:29:53 AM,-0.50
10679,6/28/2024 4:30:11 AM,-0.40
10679,6/28/2024 4:30:47 AM,0.00
10679,6/28/2024 4:31:11 AM,-0.50
10679,6/28/2024 4:32:11 AM,-0.60
10679,6/28/2024 4:33:11 AM,-0.70
10679,6/28/2024 4:34:11 AM,-0.50
10679,6/28/2024 4:35:11 AM,-0.70
10679,6/28/2024 4:37:11 AM,-0.80
10679,6/28/2024 4:38:11 AM,-0.70
10679,6/28/2024 4:39:11 AM,-0.60
10679,6/28/2024 4:40:11 AM,-0.70
10679,6/28/2024 4:41:11 AM,-0.60
10679,6/28/2024 4:43:11 AM,-0.40
10679,6/28/2024 4:44:11 AM,-0.50
10679,6/28/2024 4:45:11 AM,-0.30
10679,6/28/2024 4:46:11 AM,-0.40
10679,6/28/2024 4:47:11 AM,-0.50
10679,6/28/2024 4:48:11 AM,-0.40
10679,6/28/2024 4:49:11 AM,-0.30
10679,6/28/2024 4:50:11 AM,-0.60
10679,6/28/2024 4:51:42 AM,-0.60
10679,6/28/2024 4:51:47 AM,-0.60
10679,6/28/2024 4:52:11 AM,-0.50
10679,6/28/2024 4:53:11 AM,-0.60
10679,6/28/2024 4:54:11 AM,-0.80
10679,6/28/2024 4:55:11 AM,-0.60
10679,6/28/2024 4:55:35 AM,-1.60
10679,6/28/2024 4:55:41 AM,-0.60
10679,6/28/2024 4:56:11 AM,-0.50
10679,6/28/2024 4:56:59 AM,-1.10
10679,6/28/2024 4:57:05 AM,-1.20
10679,6/28/2024 4:57:11 AM,-0.70
10679,6/28/2024 4:57:17 AM,0.00
10679,6/28/2024 4:57:23 AM,-0.30
10679,6/28/2024 4:57:41 AM,-1.00
10679,6/28/2024 4:57:53 AM,0.00
10679,6/28/2024 4:58:05 AM,-0.30
10679,6/28/2024 4:58:11 AM,-0.90
10679,6/28/2024 4:58:35 AM,-1.10
10679,6/28/2024 4:58:41 AM,-0.40
10679,6/28/2024 4:58:47 AM,-0.60
10679,6/28/2024 4:58:53 AM,-0.50
10679,6/28/2024 4:59:05 AM,-0.10
10679,6/28/2024 4:59:11 AM,-0.40
10679,6/28/2024 4:59:47 AM,-0.50
10679,6/28/2024 4:59:53 AM,-0.80
10679,6/28/2024 4:59:59 AM,0.00
10679,6/28/2024 5:00:11 AM,-0.30
10679,6/28/2024 5:00:23 AM,-0.50
10679,6/28/2024 5:00:29 AM,-0.10
10679,6/28/2024 5:00:35 AM,-0.40
10679,6/28/2024 5:00:41 AM,0.40
10679,6/28/2024 5:00:59 AM,-0.50
10679,6/28/2024 5:01:05 AM,0.60
10679,6/28/2024 5:01:11 AM,-0.50
10679,6/28/2024 5:01:23 AM,-0.30
10679,6/28/2024 5:01:35 AM,-0.10
10679,6/28/2024 5:01:41 AM,0.20
10679,6/28/2024 5:01:47 AM,-0.30
10679,6/28/2024 5:01:53 AM,-0.10
10679,6/28/2024 5:02:11 AM,-0.50
10679,6/28/2024 5:02:29 AM,-0.30
10679,6/28/2024 5:02:34 AM,-0.60
10679,6/28/2024 5:03:11 AM,-0.70
10679,6/28/2024 5:04:11 AM,0.20
10679,6/28/2024 5:05:11 AM,-0.10
10679,6/28/2024 5:06:11 AM,-0.30
10679,6/28/2024 5:07:11 AM,-0.20
10679,6/28/2024 5:08:11 AM,-0.30
10679,6/28/2024 5:09:11 AM,0.20
10679,6/28/2024 5:10:11 AM,0.00
10679,6/28/2024 5:11:11 AM,-0.30
10679,6/28/2024 5:11:53 AM,0.00
10679,6/28/2024 5:13:47 AM,-0.40
10679,6/28/2024 5:13:53 AM,0.10
10679,6/28/2024 5:13:59 AM,-0.50
10679,6/28/2024 5:14:11 AM,0.00
10679,6/28/2024 5:14:35 AM,0.50
10679,6/28/2024 5:14:59 AM,-0.20
10679,6/28/2024 5:15:11 AM,-0.50
10679,6/28/2024 5:15:35 AM,0.00
10679,6/28/2024 5:15:53 AM,0.10
10679,6/28/2024 5:15:59 AM,-0.20
10679,6/28/2024 5:16:11 AM,-1.00
10679,6/28/2024 5:16:23 AM,-0.30
10679,6/28/2024 5:17:11 AM,-0.20
10679,6/28/2024 5:17:23 AM,-0.30
10679,6/28/2024 5:17:41 AM,-0.40
10679,6/28/2024 5:17:53 AM,-1.00
10679,6/28/2024 5:17:59 AM,-0.30
