Device ID, Latitude, Longitude, Installation Type, Connection, Minimum Value in Measurement Range
10052,44.9000000000,97.0000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10064,41.8000000000,88.2000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10065,41.8000000000,87.8000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10066,41.6000000000,87.9000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10067,42.1000000000,87.9000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10068,42.0000000000,88.2000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10069,41.9000000000,87.7000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10071,42.2000000000,88.9000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10072,42.2000000000,88.9000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10073,41.6000000000,87.7000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10074,41.2000000000,87.9000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10075,41.7000000000,87.5000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10076,41.8000000000,88.0000000000,2 - Combined,1 - Common neutral of a 3-phase transformer,0.1000000000
10094,41.9000000000,72.5000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0200000000
10095,41.7000000000,72.2000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10096,41.8000000000,72.6000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10097,41.4000000000,72.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0200000000
10098,41.4000000000,72.1000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.2000000000
10099,41.4000000000,73.4000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10100,41.6000000000,72.9000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.1000000000
10103,38.6000000000,121.3000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
10222,40.2000000000,75.3000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.1000000000
10223,32.9000000000,115.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10224,40.2000000000,75.3000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.1000000000
10229,43.6000000000,92.7000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10232,45.0000000000,92.8000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10233,47.6000000000,122.3000000000,1 - Separate,1 - Common neutral of a 3-phase transformer,0.0100000000
10237,33.7000000000,84.9000000000,1 - Separate,2 - Common neutral of three (3) single-phase transformers,0.0100000000
