MagnetometerDeviceID,SampleDateTime,GeoBfieldMeasureNorth,GeoBfieldMeasureEast,GeoBfieldMeasureVertical
50116,10/10/2024 12:00:00 AM,21538.04,-1350.72,45868.59
50116,10/10/2024 12:00:01 AM,21538.06,-1350.71,45868.57
50116,10/10/2024 12:00:02 AM,21538.11,-1350.71,45868.55
50116,10/10/2024 12:00:03 AM,21538.11,-1350.70,45868.56
50116,10/10/2024 12:00:04 AM,21538.10,-1350.69,45868.54
50116,10/10/2024 12:00:05 AM,21538.11,-1350.69,45868.53
50116,10/10/2024 12:00:06 AM,21538.15,-1350.71,45868.51
50116,10/10/2024 12:00:07 AM,21538.15,-1350.69,45868.51
50116,10/10/2024 12:00:08 AM,21538.19,-1350.70,45868.54
50116,10/10/2024 12:00:09 AM,21538.18,-1350.69,45868.53
50116,10/10/2024 12:00:10 AM,21538.19,-1350.66,45868.53
50116,10/10/2024 12:00:11 AM,21538.18,-1350.66,45868.53
50116,10/10/2024 12:00:12 AM,21538.21,-1350.66,45868.54
50116,10/10/2024 12:00:13 AM,21538.20,-1350.66,45868.53
50116,10/10/2024 12:00:14 AM,21538.22,-1350.62,45868.54
50116,10/10/2024 12:00:15 AM,21538.25,-1350.61,45868.52
50116,10/10/2024 12:00:16 AM,21538.24,-1350.61,45868.49
50116,10/10/2024 12:00:17 AM,21538.22,-1350.60,45868.49
50116,10/10/2024 12:00:18 AM,21538.20,-1350.58,45868.50
50116,10/10/2024 12:00:19 AM,21538.19,-1350.57,45868.50
50116,10/10/2024 12:00:20 AM,21538.17,-1350.55,45868.49
50116,10/10/2024 12:00:21 AM,21538.19,-1350.53,45868.52
50116,10/10/2024 12:00:22 AM,21538.18,-1350.53,45868.49
50116,10/10/2024 12:00:23 AM,21538.15,-1350.51,45868.49
50116,10/10/2024 12:00:24 AM,21538.15,-1350.52,45868.52
50116,10/10/2024 12:00:25 AM,21538.15,-1350.52,45868.53
50116,10/10/2024 12:00:26 AM,21538.13,-1350.53,45868.53
50116,10/10/2024 12:00:27 AM,21538.10,-1350.55,45868.57
50116,10/10/2024 12:00:28 AM,21538.11,-1350.53,45868.56
50116,10/10/2024 12:00:29 AM,21538.08,-1350.54,45868.52
50116,10/10/2024 12:00:30 AM,21538.07,-1350.56,45868.54
50116,10/10/2024 12:00:31 AM,21538.07,-1350.55,45868.55
50116,10/10/2024 12:00:32 AM,21538.06,-1350.56,45868.55
50116,10/10/2024 12:00:33 AM,21538.04,-1350.57,45868.57
50116,10/10/2024 12:00:34 AM,21538.07,-1350.55,45868.62
50116,10/10/2024 12:00:35 AM,21538.08,-1350.59,45868.57
50116,10/10/2024 12:00:36 AM,21538.08,-1350.60,45868.57
50116,10/10/2024 12:00:37 AM,21538.08,-1350.57,45868.55
50116,10/10/2024 12:00:38 AM,21538.10,-1350.56,45868.54
50116,10/10/2024 12:00:39 AM,21538.11,-1350.56,45868.56
50116,10/10/2024 12:00:40 AM,21538.16,-1350.56,45868.55
50116,10/10/2024 12:00:41 AM,21538.18,-1350.57,45868.55
50116,10/10/2024 12:00:42 AM,21538.16,-1350.59,45868.54
50116,10/10/2024 12:00:43 AM,21538.18,-1350.57,45868.53
50116,10/10/2024 12:00:44 AM,21538.23,-1350.56,45868.54
50116,10/10/2024 12:00:45 AM,21538.25,-1350.54,45868.52
50116,10/10/2024 12:00:46 AM,21538.26,-1350.54,45868.50
50116,10/10/2024 12:00:47 AM,21538.28,-1350.53,45868.51
50116,10/10/2024 12:00:48 AM,21538.29,-1350.52,45868.49
50116,10/10/2024 12:00:49 AM,21538.27,-1350.51,45868.46
50116,10/10/2024 12:00:50 AM,21538.25,-1350.51,45868.46
50116,10/10/2024 12:00:51 AM,21538.24,-1350.50,45868.46
50116,10/10/2024 12:00:52 AM,21538.24,-1350.50,45868.49
50116,10/10/2024 12:00:53 AM,21538.27,-1350.48,45868.47
50116,10/10/2024 12:00:54 AM,21538.29,-1350.47,45868.43
50116,10/10/2024 12:00:55 AM,21538.27,-1350.46,45868.44
