Device ID, Start Date Time, End Date Time, Reason, Narrative
10623,12/31/2024 00:00:00,12/31/2024 19:46:29,5-Other (narrative required),Data was within the deadband so no changes were reported.  We are reviewing the scaling and deadbands to determine if a changed can be made to allow for faster reporting during low level GIC events.
10467,12/31/2024 12:37:00,12/31/2024 12:37:59,3-Data Recording Device Malfunction,Issue with collection of data.
10473,01/01/2025 04:35:00,01/01/2025 04:35:59,3-Data Recording Device Malfunction,Issue with collection of data.
10481,01/01/2025 18:13:00,01/01/2025 18:13:59,3-Data Recording Device Malfunction,Issue with collection of data.
10481,01/01/2025 19:18:00,01/01/2025 20:17:00,3-Data Recording Device Malfunction,Issue with collection of data.
10498,01/01/2025 14:39:00,01/01/2025 15:38:00,3-Data Recording Device Malfunction,Issue with collection of data.
10506,01/01/2025 05:27:00,01/01/2025 05:27:59,3-Data Recording Device Malfunction,Issue with collection of data.
10509,12/31/2024 12:23:00,12/31/2024 12:36:00,3-Data Recording Device Malfunction,Issue with collection of data.
10513,12/31/2024 07:14:00,12/31/2024 07:14:59,3-Data Recording Device Malfunction,Issue with collection of data.
10515,12/31/2024 12:38:00,12/31/2024 12:38:59,3-Data Recording Device Malfunction,Issue with collection of data.
10538,12/31/2024 05:06:00,12/31/2024 05:06:59,3-Data Recording Device Malfunction,Issue with collection of data.
10548,12/31/2024 06:53:00,12/31/2024 06:53:59,3-Data Recording Device Malfunction,Issue with collection of data.
10549,12/31/2024 16:53:00,12/31/2024 16:53:59,3-Data Recording Device Malfunction,Issue with collection of data.
10550,01/01/2025 00:17:00,01/01/2025 00:17:59,3-Data Recording Device Malfunction,Issue with collection of data.
10550,01/01/2025 03:39:00,01/01/2025 03:39:59,3-Data Recording Device Malfunction,Issue with collection of data.
10550,01/01/2025 04:46:00,01/01/2025 04:46:59,3-Data Recording Device Malfunction,Issue with collection of data.
10550,12/31/2024 06:23:00,12/31/2024 06:23:59,3-Data Recording Device Malfunction,Issue with collection of data.
10550,12/31/2024 17:03:00,12/31/2024 17:03:59,3-Data Recording Device Malfunction,Issue with collection of data.
10551,01/01/2025 03:47:00,01/01/2025 03:47:59,3-Data Recording Device Malfunction,Issue with collection of data.
10551,01/01/2025 09:50:00,01/01/2025 09:50:59,3-Data Recording Device Malfunction,Issue with collection of data.
10551,12/31/2024 03:26:00,12/31/2024 03:26:59,3-Data Recording Device Malfunction,Issue with collection of data.
10551,12/31/2024 04:08:00,12/31/2024 04:08:59,3-Data Recording Device Malfunction,Issue with collection of data.
10551,12/31/2024 05:06:00,12/31/2024 05:06:59,3-Data Recording Device Malfunction,Issue with collection of data.
10557,12/31/2024 13:06:00,12/31/2024 14:05:00,3-Data Recording Device Malfunction,Issue with collection of data.
10561,01/01/2025 00:18:00,01/01/2025 00:18:59,3-Data Recording Device Malfunction,Issue with collection of data.
10565,12/31/2024 10:55:00,12/31/2024 10:55:59,3-Data Recording Device Malfunction,Issue with collection of data.
10567,01/01/2025 03:28:00,01/01/2025 03:29:00,3-Data Recording Device Malfunction,Issue with collection of data.
10567,01/01/2025 17:47:00,01/01/2025 17:47:59,3-Data Recording Device Malfunction,Issue with collection of data.
10567,01/01/2025 23:02:00,01/01/2025 23:59:00,3-Data Recording Device Malfunction,Issue with collection of data.
10567,12/31/2024 15:06:00,12/31/2024 15:06:59,3-Data Recording Device Malfunction,Issue with collection of data.
10567,12/31/2024 22:54:00,12/31/2024 22:54:59,3-Data Recording Device Malfunction,Issue with collection of data.
10568,12/31/2024 12:23:00,12/31/2024 12:37:00,3-Data Recording Device Malfunction,Issue with collection of data.
10589,01/01/2025 19:35:00,01/01/2025 20:34:00,3-Data Recording Device Malfunction,Issue with collection of data.
10644,12/31/2024 13:55:00,12/31/2024 13:56:00,3-Data Recording Device Malfunction,Issue with collection of data.
10698,12/31/2024 03:06:00,12/31/2024 03:06:59,3-Data Recording Device Malfunction,Issue with collection of data.
10698,12/31/2024 06:13:00,12/31/2024 07:14:00,3-Data Recording Device Malfunction,Issue with collection of data.
10698,12/31/2024 12:38:00,12/31/2024 12:38:59,3-Data Recording Device Malfunction,Issue with collection of data.
10702,12/31/2024 18:31:00,12/31/2024 18:31:59,3-Data Recording Device Malfunction,Issue with collection of data.
10729,12/31/2024 13:15:00,12/31/2024 15:14:00,3-Data Recording Device Malfunction,Issue with collection of data.
