MagnetometerDeviceID,SampleDateTime,GeoBfieldMeasureNorth,GeoBfieldMeasureEast,GeoBfieldMeasureVertical
50130,11/3/2021 3:00:00 PM,20326.20,-2520.70,48353.50
50130,11/3/2021 3:01:00 PM,20327.20,-2520.70,48353.50
50130,11/3/2021 3:02:00 PM,20328.30,-2520.70,48353.50
50130,11/3/2021 3:03:00 PM,20327.80,-2520.70,48353.50
50130,11/3/2021 3:04:00 PM,20328.40,-2520.70,48353.50
50130,11/3/2021 3:05:00 PM,20327.00,-2520.70,48353.50
50130,11/3/2021 3:06:00 PM,20326.40,-2520.70,48353.50
50130,11/3/2021 3:07:00 PM,20325.30,-2520.70,48353.50
50130,11/3/2021 3:08:00 PM,20325.30,-2520.70,48353.50
50130,11/3/2021 3:09:00 PM,20325.40,-2520.70,48353.50
50130,11/3/2021 3:10:00 PM,20325.80,-2520.00,48353.00
50130,11/3/2021 3:11:00 PM,20326.20,-2519.10,48352.40
50130,11/3/2021 3:12:00 PM,20326.70,-2518.20,48351.80
50130,11/3/2021 3:13:00 PM,20327.10,-2519.70,48351.30
50130,11/3/2021 3:14:00 PM,20327.50,-2519.70,48350.70
50130,11/3/2021 3:15:00 PM,20328.00,-2518.80,48353.10
50130,11/3/2021 3:16:00 PM,20328.40,-2520.20,48350.90
50130,11/3/2021 3:17:00 PM,20326.80,-2519.10,48351.80
50130,11/3/2021 3:18:00 PM,20325.80,-2521.30,48351.10
50130,11/3/2021 3:19:00 PM,20328.40,-2522.20,48350.80
50130,11/3/2021 3:20:00 PM,20328.10,-2523.20,48352.50
50130,11/3/2021 3:21:00 PM,20327.50,-2520.70,48351.40
50130,11/3/2021 3:22:00 PM,20326.80,-2520.20,48353.00
50130,11/3/2021 3:23:00 PM,20326.10,-2519.70,48352.50
50130,11/3/2021 3:24:00 PM,20325.40,-2519.20,48350.60
50130,11/3/2021 3:25:00 PM,20327.80,-2518.70,48351.80
50130,11/3/2021 3:26:00 PM,20326.80,-2518.20,48353.00
50130,11/3/2021 3:27:00 PM,20325.80,-2517.70,48352.70
50130,11/3/2021 3:28:00 PM,20328.40,-2519.40,48352.00
50130,11/3/2021 3:29:00 PM,20328.40,-2519.20,48350.50
50130,11/3/2021 3:30:00 PM,20328.40,-2519.30,48350.40
50130,11/3/2021 3:31:00 PM,20328.40,-2518.20,48350.00
50130,11/3/2021 3:32:00 PM,20328.40,-2519.20,48349.60
50130,11/3/2021 3:33:00 PM,20328.40,-2520.20,48349.20
50130,11/3/2021 3:34:00 PM,20328.40,-2517.70,48348.80
50130,11/3/2021 3:35:00 PM,20328.40,-2517.60,48348.40
50130,11/3/2021 3:36:00 PM,20328.40,-2520.00,48348.00
50130,11/3/2021 3:37:00 PM,20328.40,-2520.30,48347.60
50130,11/3/2021 3:38:00 PM,20328.40,-2520.50,48349.90
50130,11/3/2021 3:39:00 PM,20328.40,-2518.70,48347.70
50130,11/3/2021 3:40:00 PM,20331.00,-2521.20,48348.60
50130,11/3/2021 3:41:00 PM,20328.80,-2521.80,48348.80
50130,11/3/2021 3:42:00 PM,20329.00,-2522.40,48349.50
50130,11/3/2021 3:43:00 PM,20330.40,-2523.00,48348.00
50130,11/3/2021 3:44:00 PM,20328.40,-2523.60,48349.90
50130,11/3/2021 3:45:00 PM,20329.30,-2521.90,48347.30
50130,11/3/2021 3:46:00 PM,20329.30,-2520.90,48347.30
50130,11/3/2021 3:47:00 PM,20329.50,-2522.20,48349.60
50130,11/3/2021 3:48:00 PM,20329.00,-2523.40,48347.20
50130,11/3/2021 3:49:00 PM,20330.10,-2521.80,48346.60
50130,11/3/2021 3:50:00 PM,20329.60,-2523.70,48346.00
50130,11/3/2021 3:51:00 PM,20329.00,-2523.80,48345.40
50130,11/3/2021 3:52:00 PM,20331.50,-2520.70,48344.80
50130,11/3/2021 3:53:00 PM,20331.10,-2521.80,48344.20
50130,11/3/2021 3:54:00 PM,20331.70,-2520.90,48346.20
50130,11/3/2021 3:55:00 PM,20332.50,-2523.40,48347.00
50130,11/3/2021 3:56:00 PM,20333.20,-2522.10,48344.60
50130,11/3/2021 3:57:00 PM,20334.00,-2523.90,48346.80
50130,11/3/2021 3:58:00 PM,20331.80,-2524.40,48347.20
50130,11/3/2021 3:59:00 PM,20332.30,-2524.80,48345.20
50130,11/3/2021 4:00:00 PM,20332.40,-2525.30,48347.10
50130,11/3/2021 4:01:00 PM,20334.20,-2525.80,48344.60
50130,11/3/2021 4:02:00 PM,20334.30,-2526.20,48345.30
50130,11/3/2021 4:03:00 PM,20332.20,-2526.70,48346.70
50130,11/3/2021 4:04:00 PM,20333.50,-2524.90,48344.10
50130,11/3/2021 4:05:00 PM,20334.20,-2524.60,48344.10
50130,11/3/2021 4:06:00 PM,20333.50,-2525.50,48344.10
50130,11/3/2021 4:07:00 PM,20335.00,-2526.30,48344.10
50130,11/3/2021 4:08:00 PM,20335.50,-2523.90,48344.10
50130,11/3/2021 4:09:00 PM,20336.00,-2526.10,48344.10
50130,11/3/2021 4:10:00 PM,20336.40,-2526.60,48344.10
50130,11/3/2021 4:11:00 PM,20336.90,-2524.90,48344.10
50130,11/3/2021 4:12:00 PM,20337.40,-2525.90,48343.70
50130,11/3/2021 4:13:00 PM,20337.40,-2523.90,48342.20
50130,11/3/2021 4:14:00 PM,20334.80,-2524.50,48341.70
50130,11/3/2021 4:15:00 PM,20335.70,-2527.90,48342.90
50130,11/3/2021 4:16:00 PM,20337.00,-2529.10,48342.50
50130,11/3/2021 4:17:00 PM,20336.60,-2527.70,48341.60
50130,11/3/2021 4:18:00 PM,20336.20,-2528.10,48341.60
50130,11/3/2021 4:19:00 PM,20335.50,-2528.80,48344.00
50130,11/3/2021 4:20:00 PM,20334.80,-2528.10,48341.30
50130,11/3/2021 4:21:00 PM,20337.80,-2529.60,48343.20
50130,11/3/2021 4:22:00 PM,20338.40,-2530.00,48341.40
50130,11/3/2021 4:23:00 PM,20339.00,-2527.20,48342.30
50130,11/3/2021 4:24:00 PM,20339.60,-2528.60,48343.20
50130,11/3/2021 4:25:00 PM,20340.10,-2529.00,48342.30
50130,11/3/2021 4:26:00 PM,20340.70,-2528.00,48340.70
50130,11/3/2021 4:27:00 PM,20339.00,-2528.10,48340.40
50130,11/3/2021 4:28:00 PM,20338.50,-2530.20,48340.10
50130,11/3/2021 4:29:00 PM,20339.00,-2530.50,48339.80
50130,11/3/2021 4:30:00 PM,20338.20,-2530.80,48339.50
50130,11/3/2021 4:31:00 PM,20338.00,-2531.10,48339.20
50130,11/3/2021 4:32:00 PM,20338.10,-2531.30,48338.90
50130,11/3/2021 4:33:00 PM,20339.00,-2531.60,48338.60
50130,11/3/2021 4:34:00 PM,20338.60,-2531.90,48338.20
50130,11/3/2021 4:35:00 PM,20340.80,-2532.10,48338.00
50130,11/3/2021 4:36:00 PM,20339.80,-2532.40,48339.00
50130,11/3/2021 4:37:00 PM,20338.70,-2532.70,48340.40
50130,11/3/2021 4:38:00 PM,20340.60,-2532.90,48338.00
50130,11/3/2021 4:39:00 PM,20338.50,-2533.20,48338.30
50130,11/3/2021 4:40:00 PM,20340.20,-2530.10,48340.40
50130,11/3/2021 4:41:00 PM,20338.00,-2532.70,48340.00
50130,11/3/2021 4:42:00 PM,20341.30,-2533.30,48339.30
50130,11/3/2021 4:43:00 PM,20341.60,-2533.60,48338.80
50130,11/3/2021 4:44:00 PM,20342.00,-2533.80,48337.90
50130,11/3/2021 4:45:00 PM,20342.40,-2534.00,48340.40
50130,11/3/2021 4:46:00 PM,20342.70,-2534.30,48339.30
50130,11/3/2021 4:47:00 PM,20343.10,-2534.50,48338.70
50130,11/3/2021 4:48:00 PM,20343.50,-2534.70,48338.70
50130,11/3/2021 4:49:00 PM,20343.80,-2535.00,48338.60
50130,11/3/2021 4:50:00 PM,20341.70,-2535.20,48338.60
50130,11/3/2021 4:51:00 PM,20342.60,-2535.40,48340.20
50130,11/3/2021 4:52:00 PM,20343.50,-2535.70,48339.20
50130,11/3/2021 4:53:00 PM,20341.30,-2535.90,48338.80
50130,11/3/2021 4:54:00 PM,20341.10,-2536.10,48340.70
50130,11/3/2021 4:55:00 PM,20343.80,-2534.60,48339.30
50130,11/3/2021 4:56:00 PM,20342.40,-2534.00,48338.40
50130,11/3/2021 4:57:00 PM,20341.00,-2533.30,48339.60
50130,11/3/2021 4:58:00 PM,20342.00,-2535.50,48340.30
50130,11/3/2021 4:59:00 PM,20343.40,-2533.60,48338.70
50130,11/3/2021 5:00:00 PM,20342.30,-2536.60,48339.40
50130,11/3/2021 5:01:00 PM,20341.20,-2537.00,48338.30
50130,11/3/2021 5:02:00 PM,20343.60,-2537.30,48339.50
50130,11/3/2021 5:03:00 PM,20343.00,-2537.60,48338.50
50130,11/3/2021 5:04:00 PM,20342.50,-2537.90,48341.00
50130,11/3/2021 5:05:00 PM,20341.90,-2538.20,48340.90
